"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreateSettingsStartup.cs", "C#", 0, -38, 0, 0, 0, -1, -39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 0, -92, 0, 0, -34, -16, -142
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 0, -48, 0, 0, -15, -10, -73
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Command.cs", "C#", 0, -153, 0, 0, -46, -44, -243
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\CreateCommandsStartup.cs", "C#", 0, -127, 0, 0, -8, -5, -140
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineFunction.cs", "C#", 0, -19, 0, 0, 0, -3, -22
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineVariable.cs", "C#", 0, -20, 0, 0, 0, -3, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\EvaluateExpression.cs", "C#", 0, -13, 0, 0, 0, -2, -15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Explain.cs", "C#", 0, -51, 0, 0, -12, -15, -78
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\GetSetting.cs", "C#", 0, -11, 0, 0, 0, -3, -14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Help.cs", "C#", 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\InformalCommand.cs", "C#", 0, -10, 0, 0, -3, -2, -15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\ListObjects.cs", "C#", 0, -67, 0, 0, -3, -11, -81
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SetSetting.cs", "C#", 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SimplifyExpression.cs", "C#", 0, -9, 0, 0, 0, -2, -11
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Write.cs", "C#", 0, -36, 0, 0, -6, -9, -51
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 0, -31, 0, 0, -1, -3, -35
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Add.cs", "C#", 0, -38, 0, 0, -13, -11, -62
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Constant.cs", "C#", 0, -19, 0, 0, -4, -8, -31
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Divide.cs", "C#", 0, -29, 0, 0, -9, -9, -47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Function.cs", "C#", 0, -25, 0, 0, -3, -6, -34
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\GetValue.cs", "C#", 0, -1, 0, 0, -4, 0, -5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\MathObject.cs", "C#", 0, -33, 0, 0, -12, -11, -56
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Multiply.cs", "C#", 0, -40, 0, 0, -14, -10, -64
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Operator.cs", "C#", 0, -63, 0, 0, -19, -11, -93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Power.cs", "C#", 0, -29, 0, 0, -9, -9, -47
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Variable.cs", "C#", 0, -20, 0, 0, -4, -7, -31
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Define.cs", "C#", 0, 41, 0, 0, 0, 7, 48
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Settings.cs", "C#", 0, 24, 0, 0, 1, 5, 30
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\SingleInput.cs", "C#", 0, 23, 0, 0, 0, 4, 27
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Development.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Comparison.cs", "C#", 0, 13, 0, 0, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Hierarchy.cs", "C#", 0, 44, 0, 0, 0, 7, 51
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.cs", "C#", 0, 7, 0, 0, 0, 1, 8
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.csproj", "XML", 22, 0, 0, 0, 0, 7, 29
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.deps.json", "JSON", 0, 0, 433, 0, 0, 0, 433
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
