"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Define.cs", "C#", 0, 41, 0, 0, 0, 7, 48
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Settings.cs", "C#", 0, 24, 0, 0, 1, 5, 30
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\SingleInput.cs", "C#", 0, 23, 0, 0, 0, 4, 27
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Development.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Comparison.cs", "C#", 0, 13, 0, 0, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Hierarchy.cs", "C#", 0, 44, 0, 0, 0, 7, 51
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.cs", "C#", 0, 7, 0, 0, 0, 1, 8
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.csproj", "XML", 22, 0, 0, 0, 0, 7, 29
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.deps.json", "JSON", 0, 0, 433, 0, 0, 0, 433
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GlobalUsings.g.cs", "C#", 0, 8, 0, 0, 1, 1, 10
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GlobalUsings.g.cs", "C#", 0, 8, 0, 0, 1, 1, 10
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.dgspec.json", "JSON", 0, 0, 95, 0, 0, 0, 95
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.props", "XML", 26, 0, 0, 0, 0, 0, 26
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.targets", "XML", 9, 0, 0, 0, 0, 0, 9
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.dgspec.json", "JSON", 0, 0, 164, 0, 0, 0, 164
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.props", "XML", 26, 0, 0, 0, 0, 0, 26
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.targets", "XML", 9, 0, 0, 0, 0, 0, 9
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\project.assets.json", "JSON", 0, 0, 1095, 0, 0, 0, 1095
"Total", "-", 92, 203, 1835, 26, 23, 50, 2229
