"filename", "language", "Markdown", "XML", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\details.md", "Markdown", 16, 0, 0, 0, 0, 0, 6, 22
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 6, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 7, 19
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\results.md", "Markdown", 14, 0, 0, 0, 0, 0, 7, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\details.md", "Markdown", 17, 0, 0, 0, 0, 0, 6, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\diff-details.md", "Markdown", 24, 0, 0, 0, 0, 0, 6, 30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\diff.md", "Markdown", 17, 0, 0, 0, 0, 0, 7, 24
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\results.md", "Markdown", 14, 0, 0, 0, 0, 0, 7, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\details.md", "Markdown", 17, 0, 0, 0, 0, 0, 6, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\diff-details.md", "Markdown", 25, 0, 0, 0, 0, 0, 6, 31
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\diff.md", "Markdown", 17, 0, 0, 0, 0, 0, 7, 24
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\results.md", "Markdown", 14, 0, 0, 0, 0, 0, 7, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\details.md", "Markdown", 18, 0, 0, 0, 0, 0, 6, 24
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\diff-details.md", "Markdown", 26, 0, 0, 0, 0, 0, 6, 32
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\diff.md", "Markdown", 17, 0, 0, 0, 0, 0, 7, 24
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\results.md", "Markdown", 14, 0, 0, 0, 0, 0, 7, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\details.md", "Markdown", 31, 0, 0, 0, 0, 0, 6, 37
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\diff-details.md", "Markdown", 40, 0, 0, 0, 0, 0, 6, 46
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\diff.md", "Markdown", 19, 0, 0, 0, 0, 0, 7, 26
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\results.md", "Markdown", 17, 0, 0, 0, 0, 0, 7, 24
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\CASproject.csproj", "XML", 0, 11, 0, 0, 0, 0, 4, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.deps.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 59
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.dgspec.json", "JSON", 0, 0, 80, 0, 0, 0, 0, 80
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 16
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\project.assets.json", "JSON", 0, 0, 139, 0, 0, 0, 0, 139
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\ParseInput.cs", "C#", 0, 0, 0, 128, 0, 40, 40, 208
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.Exceptions.cs", "C#", 0, 0, 0, 8, 0, 0, 3, 11
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 0, 0, 0, 170, 0, 50, 25, 245
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 0, 0, 0, 65, 0, 16, 12, 93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateCommandsStartup.cs", "C#", 0, 0, 0, 243, 0, 2, 5, 250
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateFormalFunctions.cs", "C#", 0, 0, 0, 122, 0, 12, 13, 147
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreatePredefinedStartup.cs", "C#", 0, 0, 0, 14, 0, 0, 1, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs", "C#", 0, 0, 0, 80, 0, 0, 3, 83
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Explain.cs", "C#", 0, 0, 0, 56, 0, 3, 10, 69
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Help.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Hide.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\ListObjects.cs", "C#", 0, 0, 0, 70, 0, 3, 12, 85
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Show.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Write.cs", "C#", 0, 0, 0, 41, 0, 8, 11, 60
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExecuteAll.cs", "C#", 0, 0, 0, 11, 0, 0, 3, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExitCommand.cs", "C#", 0, 0, 0, 11, 0, 0, 2, 13
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\GetTime.cs", "C#", 0, 0, 0, 31, 0, 0, 3, 34
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\RepeatExecute.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineFunction.cs", "C#", 0, 0, 0, 20, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineVariable.cs", "C#", 0, 0, 0, 20, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\RemoveObject.cs", "C#", 0, 0, 0, 14, 0, 0, 3, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\SetSetting.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\Command.cs", "C#", 0, 0, 0, 46, 0, 10, 10, 66
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\InformalCommand.cs", "C#", 0, 0, 0, 10, 0, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 0, 0, 0, 32, 0, 3, 4, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Add.cs", "C#", 0, 0, 0, 85, 0, 15, 19, 119
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Divide.cs", "C#", 0, 0, 0, 76, 0, 16, 17, 109
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Multiply.cs", "C#", 0, 0, 0, 100, 0, 16, 20, 136
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Power.cs", "C#", 0, 0, 0, 77, 0, 15, 19, 111
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Functions.cs", "C#", 0, 0, 0, 13, 0, 0, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Operators.cs", "C#", 0, 0, 0, 28, 0, 0, 6, 34
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Trigonometric.cs", "C#", 0, 0, 0, 33, 0, 0, 6, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.cs", "C#", 0, 0, 0, 32, 0, 32, 11, 75
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Product.cs", "C#", 0, 0, 0, 40, 0, 3, 7, 50
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Recurse.cs", "C#", 0, 0, 0, 54, 0, 4, 10, 68
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Sum.cs", "C#", 0, 0, 0, 40, 0, 3, 8, 51
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Other\Ln.cs", "C#", 0, 0, 0, 17, 0, 4, 8, 29
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Acos.cs", "C#", 0, 0, 0, 22, 0, 2, 5, 29
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Asin.cs", "C#", 0, 0, 0, 20, 0, 2, 5, 27
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Atan.cs", "C#", 0, 0, 0, 16, 0, 2, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Cos.cs", "C#", 0, 0, 0, 16, 0, 2, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Sin.cs", "C#", 0, 0, 0, 16, 0, 2, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Trigonometric\Tan.cs", "C#", 0, 0, 0, 16, 0, 2, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs", "C#", 0, 0, 0, 66, 0, 10, 18, 94
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Function.cs", "C#", 0, 0, 0, 44, 0, 7, 10, 61
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\FunctionDefinition.cs", "C#", 0, 0, 0, 16, 0, 3, 2, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Variable.cs", "C#", 0, 0, 0, 27, 0, 5, 8, 40
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FormalFunction.cs", "C#", 0, 0, 0, 20, 0, 6, 2, 28
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FunctionWrapper.cs", "C#", 0, 0, 0, 19, 0, 3, 3, 25
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathCommand.cs", "C#", 0, 0, 0, 11, 0, 3, 1, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathFunction.cs", "C#", 0, 0, 0, 15, 0, 3, 1, 19
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathObject.cs", "C#", 0, 0, 0, 108, 0, 69, 27, 204
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathWrapper.cs", "C#", 0, 0, 0, 60, 0, 3, 3, 66
