Date : 2025-03-03 20:25:06
Directory : c:\programmering\visualstudiocodeFiles\CASproject\UnitTests
Total : 123 files,  -777 codes, -421 comments, -514 blanks, all -1712 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         18 |      1,672 |          0 |          0 |      1,672 |
| XML        |          8 |         63 |          0 |          3 |         66 |
| Properties |          3 |         13 |          0 |          1 |         14 |
| Markdown   |         20 |       -378 |          0 |       -130 |       -508 |
| C#         |         74 |     -2,147 |       -421 |       -388 |     -2,956 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        123 |       -777 |       -421 |       -514 |     -1,712 |
| . (Files)                                                                                                                           |          3 |         44 |          0 |         10 |         54 |
| ..                                                                                                                                  |         93 |     -3,244 |       -447 |       -592 |     -4,283 |
| ..\CASproject                                                                                                                       |         93 |     -3,244 |       -447 |       -592 |     -4,283 |
| ..\CASproject (Files)                                                                                                               |          1 |        -11 |          0 |         -4 |        -15 |
| ..\CASproject\.VSCodeCounter                                                                                                        |         25 |       -383 |          0 |       -130 |       -513 |
| ..\CASproject\.VSCodeCounter\2025-01-08_20-28-27                                                                                    |          5 |        -52 |          0 |        -26 |        -78 |
| ..\CASproject\.VSCodeCounter\2025-01-08_20-28-32                                                                                    |          5 |        -73 |          0 |        -26 |        -99 |
| ..\CASproject\.VSCodeCounter\2025-01-09_15-05-53                                                                                    |          5 |        -74 |          0 |        -26 |       -100 |
| ..\CASproject\.VSCodeCounter\2025-01-09_15-05-57                                                                                    |          5 |        -76 |          0 |        -26 |       -102 |
| ..\CASproject\.VSCodeCounter\2025-01-10_15-36-08                                                                                    |          5 |       -108 |          0 |        -26 |       -134 |
| ..\CASproject\bin                                                                                                                   |          2 |        -71 |          0 |          0 |        -71 |
| ..\CASproject\bin\Debug                                                                                                             |          2 |        -71 |          0 |          0 |        -71 |
| ..\CASproject\bin\Debug\net8.0                                                                                                      |          2 |        -71 |          0 |          0 |        -71 |
| ..\CASproject\obj                                                                                                                   |          9 |       -270 |        -11 |         -8 |       -289 |
| ..\CASproject\obj (Files)                                                                                                           |          4 |       -237 |          0 |          0 |       -237 |
| ..\CASproject\obj\Debug                                                                                                             |          5 |        -33 |        -11 |         -8 |        -52 |
| ..\CASproject\obj\Debug\net8.0                                                                                                      |          5 |        -33 |        -11 |         -8 |        -52 |
| ..\CASproject\src                                                                                                                   |         56 |     -2,509 |       -436 |       -450 |     -3,395 |
| ..\CASproject\src (Files)                                                                                                           |          1 |        -32 |         -3 |         -4 |        -39 |
| ..\CASproject\src\Application                                                                                                       |          8 |       -830 |       -120 |       -102 |     -1,052 |
| ..\CASproject\src\Application (Files)                                                                                               |          4 |       -371 |       -106 |        -80 |       -557 |
| ..\CASproject\src\Application\Startup                                                                                               |          4 |       -459 |        -14 |        -22 |       -495 |
| ..\CASproject\src\Commands                                                                                                          |         16 |       -405 |        -27 |        -77 |       -509 |
| ..\CASproject\src\Commands\Info                                                                                                     |          6 |       -212 |        -14 |        -42 |       -268 |
| ..\CASproject\src\Commands\Other                                                                                                    |          4 |        -68 |          0 |        -11 |        -79 |
| ..\CASproject\src\Commands\State                                                                                                    |          4 |        -69 |          0 |        -12 |        -81 |
| ..\CASproject\src\Commands\Structure                                                                                                |          2 |        -56 |        -13 |        -12 |        -81 |
| ..\CASproject\src\Math                                                                                                              |         29 |     -1,144 |       -251 |       -247 |     -1,642 |
| ..\CASproject\src\Math\Basic operators                                                                                              |          4 |       -338 |        -62 |        -75 |       -475 |
| ..\CASproject\src\Math\Calculation                                                                                                  |          4 |       -106 |        -32 |        -25 |       -163 |
| ..\CASproject\src\Math\Formal operators                                                                                             |         10 |       -257 |        -26 |        -63 |       -346 |
| ..\CASproject\src\Math\Formal operators\Iterative                                                                                   |          3 |       -134 |        -10 |        -25 |       -169 |
| ..\CASproject\src\Math\Formal operators\Other                                                                                       |          1 |        -17 |         -4 |         -8 |        -29 |
| ..\CASproject\src\Math\Formal operators\Trigonometric                                                                               |          6 |       -106 |        -12 |        -30 |       -148 |
| ..\CASproject\src\Math\Other                                                                                                        |          4 |       -153 |        -25 |        -38 |       -216 |
| ..\CASproject\src\Math\Structure                                                                                                    |          7 |       -290 |       -106 |        -46 |       -442 |
| ..\CASproject\src\Other                                                                                                             |          2 |        -98 |        -35 |        -20 |       -153 |
| Commands                                                                                                                            |          3 |        114 |          0 |         17 |        131 |
| Math                                                                                                                                |          5 |        208 |          4 |         36 |        248 |
| bin                                                                                                                                 |          4 |        552 |          0 |          0 |        552 |
| bin\Debug                                                                                                                           |          4 |        552 |          0 |          0 |        552 |
| bin\Debug\net8.0                                                                                                                    |          4 |        552 |          0 |          0 |        552 |
| obj                                                                                                                                 |         15 |      1,549 |         22 |         15 |      1,586 |
| obj (Files)                                                                                                                         |          7 |      1,485 |          0 |          0 |      1,485 |
| obj\Debug                                                                                                                           |          8 |         64 |         22 |         15 |        101 |
| obj\Debug\net8.0                                                                                                                    |          8 |         64 |         22 |         15 |        101 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\details.md                          | Markdown   |        -16 |          0 |         -6 |        -22 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\diff-details.md                     | Markdown   |         -9 |          0 |         -6 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\diff.md                             | Markdown   |        -12 |          0 |         -7 |        -19 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\results.json                        | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\results.md                          | Markdown   |        -14 |          0 |         -7 |        -21 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\details.md                          | Markdown   |        -17 |          0 |         -6 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\diff-details.md                     | Markdown   |        -24 |          0 |         -6 |        -30 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\diff.md                             | Markdown   |        -17 |          0 |         -7 |        -24 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\results.json                        | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-32\results.md                          | Markdown   |        -14 |          0 |         -7 |        -21 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\details.md                          | Markdown   |        -17 |          0 |         -6 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\diff-details.md                     | Markdown   |        -25 |          0 |         -6 |        -31 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\diff.md                             | Markdown   |        -17 |          0 |         -7 |        -24 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\results.json                        | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-53\results.md                          | Markdown   |        -14 |          0 |         -7 |        -21 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\details.md                          | Markdown   |        -18 |          0 |         -6 |        -24 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\diff-details.md                     | Markdown   |        -26 |          0 |         -6 |        -32 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\diff.md                             | Markdown   |        -17 |          0 |         -7 |        -24 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\results.json                        | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-09_15-05-57\results.md                          | Markdown   |        -14 |          0 |         -7 |        -21 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\details.md                          | Markdown   |        -31 |          0 |         -6 |        -37 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\diff-details.md                     | Markdown   |        -40 |          0 |         -6 |        -46 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\diff.md                             | Markdown   |        -19 |          0 |         -7 |        -26 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\results.json                        | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-10_15-36-08\results.md                          | Markdown   |        -17 |          0 |         -7 |        -24 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\CASproject.csproj                                                      | XML        |        -11 |          0 |         -4 |        -15 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.deps.json                                  | JSON       |        -59 |          0 |          0 |        -59 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.runtimeconfig.json                         | JSON       |        -12 |          0 |          0 |        -12 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.dgspec.json                                | JSON       |        -80 |          0 |          0 |        -80 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.props                                    | XML        |        -16 |          0 |          0 |        -16 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.targets                                  | XML        |         -2 |          0 |          0 |         -2 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs        | C#         |         -3 |         -1 |         -1 |         -5 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.AssemblyInfo.cs                            | C#         |         -9 |         -9 |         -5 |        -23 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GeneratedMSBuildEditorConfig.editorconfig  | Properties |        -13 |          0 |         -1 |        -14 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GlobalUsings.g.cs                          | C#         |         -7 |         -1 |         -1 |         -9 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.sourcelink.json                            | JSON       |         -1 |          0 |          0 |         -1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\project.assets.json                                                | JSON       |       -139 |          0 |          0 |       -139 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\ParseInput.cs                                          | C#         |       -128 |        -40 |        -40 |       -208 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.Exceptions.cs                                  | C#         |         -8 |          0 |         -3 |        -11 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs                                             | C#         |       -170 |        -50 |        -25 |       -245 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs                                             | C#         |        -65 |        -16 |        -12 |        -93 |
