"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Define.cs", "C#", 41, 0, 0, 0, 0, 6, 47
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\Settings.cs", "C#", 41, 0, 0, 0, 0, 6, 47
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Commands\SingleInput.cs", "C#", 32, 0, 0, 0, 0, 5, 37
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Development.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Comparison.cs", "C#", 13, 0, 0, 0, 4, 3, 20
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Derivative.cs", "C#", 38, 0, 0, 0, 0, 10, 48
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Hierarchy.cs", "C#", 44, 0, 0, 0, 0, 7, 51
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\IterativeMath.cs", "C#", 46, 0, 0, 0, 0, 6, 52
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\Math\Simplification.cs", "C#", 67, 0, 0, 0, 0, 10, 77
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\UnitTests.csproj", "XML", 0, 22, 0, 0, 0, 7, 29
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.deps.json", "JSON", 0, 0, 59, 0, 0, 0, 59
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.deps.json", "JSON", 0, 0, 469, 0, 0, 0, 469
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\bin\Debug\net8.0\UnitTests.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\TestProject1.GlobalUsings.g.cs", "C#", 8, 0, 0, 0, 1, 1, 10
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.GlobalUsings.g.cs", "C#", 8, 0, 0, 0, 1, 1, 10
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\Debug\net8.0\UnitTests.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.dgspec.json", "JSON", 0, 0, 95, 0, 0, 0, 95
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.props", "XML", 0, 26, 0, 0, 0, 0, 26
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\TestProject1.csproj.nuget.g.targets", "XML", 0, 9, 0, 0, 0, 0, 9
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.dgspec.json", "JSON", 0, 0, 172, 0, 0, 0, 172
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.props", "XML", 0, 26, 0, 0, 0, 0, 26
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\UnitTests.csproj.nuget.g.targets", "XML", 0, 9, 0, 0, 0, 0, 9
"c:\programmering\visualstudiocodeFiles\CASproject\UnitTests\obj\project.assets.json", "JSON", 0, 0, 1148, 0, 0, 0, 1148
"Total", "-", 381, 92, 1968, 26, 26, 78, 2571
